size temperature mag energy mag_sus sp_heat
20 1.88 0.942952 -728.272 0.169715 0.528532 
20 1.88 0.94259 -728.297 0.179267 0.537208 
20 1.88 0.943045 -728.57 0.172029 0.535377 
20 1.88 0.942239 -727.905 0.181215 0.539328 
20 1.88 0.942309 -728.042 0.177028 0.543136 
20 1.9 0.938199 -723.912 0.198991 0.563311 
20 1.9 0.938189 -723.594 0.196624 0.566822 
20 1.9 0.937602 -723.399 0.210978 0.571751 
20 1.9 0.938157 -723.682 0.205419 0.581033 
20 1.9 0.937807 -723.188 0.20038 0.562358 
20 1.92 0.933947 -719.281 0.21847 0.585276 
20 1.92 0.934005 -719.444 0.221744 0.580885 
20 1.92 0.933546 -719.257 0.230694 0.604398 
20 1.92 0.933885 -719.398 0.224196 0.593833 
20 1.92 0.933631 -719.194 0.225939 0.599461 
20 1.94 0.928804 -714.382 0.248635 0.616525 
20 1.94 0.929202 -714.48 0.236006 0.59184 
20 1.94 0.929205 -714.453 0.244753 0.620023 
20 1.94 0.929148 -714.661 0.242195 0.607585 
20 1.94 0.928498 -714.11 0.248358 0.611066 
20 1.96 0.923316 -709.369 0.301066 0.660934 
20 1.96 0.923646 -709.546 0.292195 0.653166 
20 1.96 0.922784 -709.021 0.305002 0.667854 
20 1.96 0.924245 -710.099 0.291821 0.658124 
20 1.96 0.923688 -709.226 0.276262 0.64658 
20 1.98 0.917884 -703.985 0.340654 0.711364 
20 1.98 0.916997 -703.653 0.363673 0.699431 
20 1.98 0.917729 -703.689 0.324842 0.686162 
20 1.98 0.917261 -703.463 0.318253 0.683163 
20 1.98 0.917689 -704.006 0.337657 0.687635 
20 2 0.910762 -698.1 0.412841 0.7455 
20 2 0.910657 -698.003 0.440091 0.730504 
