size temperature m mag_sus 
10 2.23 0.914982 0.418087 
10 2.23 0.91594 0.383921 
10 2.23 0.914242 0.422684 
10 2.235 0.91485 0.400759 
10 2.235 0.914702 0.402136 
10 2.235 0.912032 0.418876 
10 2.235 0.913458 0.401219 
10 2.235 0.914628 0.390881 
10 2.24 0.913308 0.380319 
10 2.24 0.91271 0.383858 
10 2.24 0.91334 0.387459 
10 2.24 0.911046 0.396148 
10 2.24 0.912644 0.410031 
10 2.245 0.910214 0.423667 
10 2.245 0.909318 0.436419 
10 2.245 0.909796 0.426168 
10 2.245 0.908676 0.450463 
10 2.245 0.91139 0.434145 
10 2.25 0.907956 0.454719 
10 2.25 0.90763 0.445311 
10 2.25 0.90955 0.448645 
10 2.25 0.907768 0.434445 
10 2.25 0.910426 0.408575 
10 2.255 0.906226 0.460144 
10 2.255 0.906762 0.449295 
10 2.255 0.90641 0.443789 
10 2.255 0.907396 0.437933 
10 2.255 0.90616 0.46876 
10 2.26 0.905068 0.469338 
10 2.26 0.904792 0.466566 
10 2.26 0.906284 0.461807 
10 2.26 0.902524 0.554493 
10 2.26 0.90523 0.461499 
10 2.265 0.903874 0.481571 
10 2.265 0.90357 0.496407 
10 2.265 0.90298 0.46288 
10 2.265 0.902688 0.4924 
10 2.265 0.900642 0.506184 
10 2.27 0.90081 0.504558 
10 2.27 0.901622 0.47283 
10 2.27 0.900222 0.517744 
10 2.27 0.899374 0.528534 
10 2.27 0.900382 0.505934 
10 2.275 0.8976 0.56249 
10 2.275 0.89972 0.513371 
10 2.275 0.898372 0.550934 
10 2.275 0.89956 0.532415 
10 2.275 0.897974 0.546824 
10 2.28 0.897524 0.541528 
10 2.28 0.89922 0.517956 
10 2.28 0.898016 0.526957 
10 2.28 0.897466 0.51019 
10 2.28 0.89681 0.552394 
10 2.285 0.89624 0.557946 
10 2.285 0.896482 0.552657 
10 2.285 0.89458 0.557464 
10 2.285 0.89463 0.571456 
10 2.285 0.894136 0.574632 
10 2.29 0.893926 0.550548 
10 2.29 0.894736 0.543377 
