J2 J3 temperature m m2 m4 ms e sp_h 
0.1 0.075 1.74 0.988886 0.978184 0.957935 0.0165953 -230.061 0.169548 
0.1 0.075 1.74 0.989036 0.978461 0.958406 0.01545 -230.108 0.161051 
0.1 0.075 1.745 0.988696 0.977813 0.957226 0.0167874 -229.967 0.173821 
0.1 0.075 1.745 0.988732 0.977876 0.957322 0.0163571 -229.959 0.171227 
0.1 0.075 1.75 0.988248 0.976934 0.955535 0.0171412 -229.765 0.177071 
0.1 0.075 1.75 0.988552 0.977529 0.956671 0.0167899 -229.894 0.172307 
0.1 0.075 1.755 0.9885 0.977426 0.956473 0.0167379 -229.882 0.17169 
0.1 0.075 1.755 0.988308 0.977055 0.955775 0.0172409 -229.793 0.173669 
0.1 0.075 1.76 0.988028 0.976506 0.954722 0.0174427 -229.672 0.175516 
0.1 0.075 1.76 0.98783 0.976121 0.953992 0.0177824 -229.592 0.179743 
0.1 0.075 1.765 0.987754 0.975971 0.953703 0.0177493 -229.55 0.180694 
0.1 0.075 1.765 0.988008 0.976471 0.954665 0.0176335 -229.678 0.175298 
0.1 0.075 1.77 0.987602 0.975689 0.953215 0.0187124 -229.497 0.187135 
